"","V1","V1","precinct","date","description","latitude","longitude"
"183",227191,834594,84,2007-07-30,"BURGLARY",40.690723948,-73.988556157
"184",744649,1021177,13,2007-11-30,"GRAND LARCENY",40.73283,-73.98149
"185",931161,4085760,47,2013-12-08,"HARRASSMENT 2",40.87697,-73.86511
"186",902108,2439007,23,2010-08-26,"ASSAULT 3 & RELATED OFFENSES",40.78872,-73.94
"187",833065,854351,72,2007-08-11,"PETIT LARCENY",40.65244864,-73.975012124
"188",740327,1531762,71,2008-11-14,"PETIT LARCENY",40.66681,-73.94383
"189",356616,1871124,61,2009-07-19,"GRAND LARCENY",40.60875,-73.95828
"190",609969,5865422,52,2017-08-23,"GRAND LARCENY",40.86334,-73.89647
"191",719571,3189890,114,2012-02-26,"HARRASSMENT 2",40.775,-73.9165
"192",157014,2271848,81,2010-05-03,"PETIT LARCENY",40.68577,-73.92193
"193",849273,4073410,73,2013-11-29,"GRAND LARCENY",40.67316,-73.90777
"194",166237,491651,44,2006-12-04,"GRAND LARCENY",40.825734869,-73.923190605
"195",694902,2435134,23,2010-08-23,"PETIT LARCENY",40.79036,-73.95359
"196",61314,4551728,40,2014-11-14,"FELONY ASSAULT",40.80681,-73.91341
"197",351259,5109243,18,2016-01-18,"PETIT LARCENY",40.76409,-73.99037
"198",292426,1381216,6,2008-08-05,"GRAND LARCENY",40.73517,-74.0084
"199",812568,1214204,18,2008-04-14,"PETIT LARCENY",40.75738,-73.98413
"200",906433,7188705,48,2020-07-28,"HARRASSMENT 2",40.83999,-73.88846
"201",28512,6662508,25,2019-05-09,"ASSAULT 3 & RELATED OFFENSES",40.80339,-73.93815
"202",126185,4567143,101,2014-11-26,"INTOXICATED & IMPAIRED DRIVING",40.59971,-73.76141
"203",109084,5479163,49,2016-10-24,"OFF. AGNST PUB ORD SENSBLTY &",40.86636,-73.84433
"204",673298,5421763,103,2016-09-10,"HARRASSMENT 2",40.69044,-73.79526
"205",950744,4361001,34,2014-07-03,"VEHICLE AND TRAFFIC LAWS",40.85239,-73.9315
"206",888991,1515495,45,2008-11-03,"OFF. AGNST PUB ORD SENSBLTY &",40.82129,-73.8073
"207",549921,3449656,13,2012-08-25,"FRAUDULENT ACCOSTING",40.73622,-73.99098
"208",403729,5552908,72,2016-12-21,"HARRASSMENT 2",40.63692,-74.01347
"209",627641,3182940,18,2012-02-20,"PETIT LARCENY",40.76398,-73.97324
"210",759327,7328019,52,2020-11-23,"GRAND LARCENY",40.87965,-73.88336
"211",944028,1607834,48,2009-01-11,"FELONY ASSAULT",40.84088,-73.87281
"212",892582,3432904,81,2012-08-14,"OFF. AGNST PUB ORD SENSBLTY &",40.68441,-73.93384
"213",590368,4251993,40,2014-04-17,"CRIMINAL MISCHIEF & RELATED OF",40.81395,-73.91553
"214",146274,1882484,109,2009-07-27,"GRAND LARCENY OF MOTOR VEHICLE",40.78923,-73.83909
"215",188044,2616492,71,2011-01-01,"INTOXICATED & IMPAIRED DRIVING",40.65649,-73.96008
"216",937347,882632,71,2007-08-30,"HARRASSMENT 2",40.666510039,-73.938293573
"217",162967,5495376,42,2016-11-04,"ASSAULT 3 & RELATED OFFENSES",40.83738,-73.88776
"218",14352,3000066,81,2011-10-08,"DANGEROUS DRUGS",40.687,-73.93734
"219",550842,4981338,106,2015-10-11,"GRAND LARCENY",40.66687,-73.81621
"220",985541,1697272,79,2009-03-19,"ROBBERY",40.69343,-73.95915
